canton_id,canton_name,prov,prov_id
0201,GUARANDA,BOLIVAR,02
0202,CHILLANES,BOLIVAR,02
0203,CHIMBO,BOLIVAR,02
0204,ECHEANDIA,BOLIVAR,02
0205,SAN MIGUEL,BOLIVAR,02
0206,CALUMA,BOLIVAR,02
0207,LAS NAVES,BOLIVAR,02
0401,TULCAN,CARCHI,04
0402,BOLIVAR,CARCHI,04
0403,ESPEJO,CARCHI,04
0404,MIRA,CARCHI,04
0405,MONTUFAR,CARCHI,04
0406,SAN PEDRO DE HUACA,CARCHI,04
0501,LATACUNGA,COTOPAXI,05
0502,LA MANA,COTOPAXI,05
0503,PANGUA,COTOPAXI,05
0504,PUJILI,COTOPAXI,05
0505,SALCEDO,COTOPAXI,05
0506,SAQUISILI,COTOPAXI,05
0507,SIGCHOS,COTOPAXI,05
0601,RIOBAMBA,CHIMBORAZO,06
0602,ALAUSI,CHIMBORAZO,06
0603,COLTA,CHIMBORAZO,06
0604,CHAMBO,CHIMBORAZO,06
0605,CHUNCHI,CHIMBORAZO,06
0606,GUAMOTE,CHIMBORAZO,06
0607,GUANO,CHIMBORAZO,06
0608,PALLATANGA,CHIMBORAZO,06
0609,PENIPE,CHIMBORAZO,06
0610,CUMANDA,CHIMBORAZO,06
0801,ESMERALDAS,ESMERALDAS,08
0802,ELOY ALFARO,ESMERALDAS,08
0803,MUISNE,ESMERALDAS,08
0804,QUININDE,ESMERALDAS,08
0805,SAN LORENZO,ESMERALDAS,08
0806,ATACAMES,ESMERALDAS,08
0807,RIOVERDE,ESMERALDAS,08
1001,IBARRA,IMBABURA,10
1002,ANTONIO ANTE,IMBABURA,10
1003,COTACACHI,IMBABURA,10
1004,OTAVALO,IMBABURA,10
1005,PIMAMPIRO,IMBABURA,10
1006,SAN MIGUEL DE URCUQUI,IMBABURA,10
1501,TENA,NAPO,15
1503,ARCHIDONA,NAPO,15
1504,EL CHACO,NAPO,15
1507,QUIJOS,NAPO,15
1509,CARLOS JULIO AROSEMENA TOLA,NAPO,15
1601,PASTAZA,PASTAZA,16
1602,MERA,PASTAZA,16
1603,SANTA CLARA,PASTAZA,16
1604,ARAJUNO,PASTAZA,16
1702,CAYAMBE,PICHINCHA,17
1703,MEJIA,PICHINCHA,17
1704,PEDRO MONCAYO,PICHINCHA,17
1705,RUMIÐAHUI,PICHINCHA,17
1707,SAN MIGUEL DE LOS BANCOS,PICHINCHA,17
1708,PEDRO VICENTE MALDONADO,PICHINCHA,17
1709,PUERTO QUITO,PICHINCHA,17
1801,AMBATO,TUNGURAHUA,18
1802,BAÑOS DE AGUA SANTA,TUNGURAHUA,18
1803,CEVALLOS,TUNGURAHUA,18
1804,MOCHA,TUNGURAHUA,18
1805,PATATE,TUNGURAHUA,18
1806,QUERO,TUNGURAHUA,18
1807,SAN PEDRO DE PELILEO,TUNGURAHUA,18
1808,SANTIAGO DE PILLARO,TUNGURAHUA,18
1809,TISALEO,TUNGURAHUA,18
2101,LAGO AGRIO,SUCUMBIOS,21
2102,GONZALO PIZARRO,SUCUMBIOS,21
2103,PUTUMAYO,SUCUMBIOS,21
2104,SHUSHUFINDI,SUCUMBIOS,21
2105,SUCUMBIOS,SUCUMBIOS,21
2106,CASCALES,SUCUMBIOS,21
2107,CUYABENO,SUCUMBIOS,21
2201,ORELLANA,ORELLANA,22
2202,AGUARICO,ORELLANA,22
2203,LA JOYA DE LOS SACHAS,ORELLANA,22
2204,LORETO,ORELLANA,22
2301,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,23
9001,LAS GOLONDRINAS,ZONA NO DELIMITADA,90
9004,EL PIEDRERO,ZONA NO DELIMITADA,90
1701,QUITO,PICHINCHA,17
0808,LA CONCORDIA,ESMERALDAS,08
0101,CUENCA,AZUAY,01
0102,GIRON,AZUAY,01
0103,GUALACEO,AZUAY,01
0105,PAUTE,AZUAY,01
0106,PUCARA,AZUAY,01
0107,SAN FERNANDO,AZUAY,01
0108,SANTA ISABEL,AZUAY,01
0109,SIGSIG,AZUAY,01
0110,OÑA,AZUAY,01
0111,CHORDELEG,AZUAY,01
0112,EL PAN,AZUAY,01
0113,SEVILLA DE ORO,AZUAY,01
0114,GUACHAPALA,AZUAY,01
0115,CAMILO PONCE ENRIQUEZ,AZUAY,01
0301,AZOGUES,CAÑAR,03
0302,BIBLIAN,CAÑAR,03
0303,CAÑAR,CAÑAR,03
0304,LA TRONCAL,CAÑAR,03
0305,EL TAMBO,CAÑAR,03
0306,DELEG,CAÑAR,03
0307,SUSCAL,CAÑAR,03
0701,MACHALA,EL ORO,07
0703,ATAHUALPA,EL ORO,07
0704,BALSAS,EL ORO,07
0705,CHILLA,EL ORO,07
0706,EL GUABO,EL ORO,07
0708,MARCABELI,EL ORO,07
0709,PASAJE,EL ORO,07
0710,PIÑAS,EL ORO,07
0711,PORTOVELO,EL ORO,07
0712,SANTA ROSA,EL ORO,07
0713,ZARUMA,EL ORO,07
0714,LAS LAJAS,EL ORO,07
0901,GUAYAQUIL,GUAYAS,09
0902,ALFREDO BAQUERIZO MORENO,GUAYAS,09
0903,BALAO,GUAYAS,09
0904,BALZAR,GUAYAS,09
0905,COLIMES,GUAYAS,09
0906,DAULE,GUAYAS,09
0907,DURAN,GUAYAS,09
0908,EMPALME,GUAYAS,09
0909,EL TRIUNFO,GUAYAS,09
0910,MILAGRO,GUAYAS,09
0911,NARANJAL,GUAYAS,09
0912,NARANJITO,GUAYAS,09
0913,PALESTINA,GUAYAS,09
0914,PEDRO CARBO,GUAYAS,09
0916,SAMBORONDON,GUAYAS,09
0918,SANTA LUCIA,GUAYAS,09
0919,SALITRE,GUAYAS,09
0920,SAN JACINTO DE YAGUACHI,GUAYAS,09
0921,PLAYAS,GUAYAS,09
0922,SIMON BOLIVAR,GUAYAS,09
0923,CRNEL. MARCELINO MARIDUEÑA,GUAYAS,09
0924,LOMAS DE SARGENTILLO,GUAYAS,09
0925,NOBOL,GUAYAS,09
0927,GNRAL. ANTONIO ELIZALDE,GUAYAS,09
0928,ISIDRO AYORA,GUAYAS,09
1101,LOJA,LOJA,11
1102,CALVAS,LOJA,11
1103,CATAMAYO,LOJA,11
1104,CELICA,LOJA,11
1105,CHAGUARPAMBA,LOJA,11
1106,ESPINDOLA,LOJA,11
1107,GONZANAMA,LOJA,11
1108,MACARA,LOJA,11
1109,PALTAS,LOJA,11
1110,PUYANGO,LOJA,11
1111,SARAGURO,LOJA,11
1112,SOZORANGA,LOJA,11
1113,ZAPOTILLO,LOJA,11
1115,QUILANGA,LOJA,11
1116,OLMEDO,LOJA,11
1201,BABAHOYO,LOS RIOS,12
1202,BABA,LOS RIOS,12
1203,MONTALVO,LOS RIOS,12
1204,PUEBLOVIEJO,LOS RIOS,12
1205,QUEVEDO,LOS RIOS,12
1206,URDANETA,LOS RIOS,12
1207,VENTANAS,LOS RIOS,12
1208,VINCES,LOS RIOS,12
1209,PALENQUE,LOS RIOS,12
1210,BUENA FE,LOS RIOS,12
1211,VALENCIA,LOS RIOS,12
1212,MOCACHE,LOS RIOS,12
1213,QUINSALOMA,LOS RIOS,12
1301,PORTOVIEJO,MANABI,13
1302,BOLIVAR,MANABI,13
1303,CHONE,MANABI,13
1304,EL CARMEN,MANABI,13
1305,FLAVIO ALFARO,MANABI,13
1306,JIPIJAPA,MANABI,13
1307,JUNIN,MANABI,13
1308,MANTA,MANABI,13
1309,MONTECRISTI,MANABI,13
1310,PAJAN,MANABI,13
1311,PICHINCHA,MANABI,13
1312,ROCAFUERTE,MANABI,13
1313,SANTA ANA,MANABI,13
1314,SUCRE,MANABI,13
1315,TOSAGUA,MANABI,13
1316,24 DE MAYO,MANABI,13
1317,PEDERNALES,MANABI,13
1318,OLMEDO,MANABI,13
1319,PUERTO LOPEZ,MANABI,13
1320,JAMA,MANABI,13
1321,JARAMIJO,MANABI,13
1322,SAN VICENTE,MANABI,13
1401,MORONA,MORONA SANTIAGO,14
1402,GUALAQUIZA,MORONA SANTIAGO,14
1403,LIMON INDANZA,MORONA SANTIAGO,14
1404,PALORA,MORONA SANTIAGO,14
1405,SANTIAGO,MORONA SANTIAGO,14
1406,SUCUA,MORONA SANTIAGO,14
1407,HUAMBOYA,MORONA SANTIAGO,14
1408,SAN JUAN BOSCO,MORONA SANTIAGO,14
1409,TAISHA,MORONA SANTIAGO,14
1410,LOGROÐO,MORONA SANTIAGO,14
1411,PABLO SEXTO,MORONA SANTIAGO,14
1412,TIWINTZA,MORONA SANTIAGO,14
1901,ZAMORA,ZAMORA CHINCHIPE,19
1902,CHINCHIPE,ZAMORA CHINCHIPE,19
1903,NANGARITZA,ZAMORA CHINCHIPE,19
1904,YACUAMBI,ZAMORA CHINCHIPE,19
1905,YANTZAZA,ZAMORA CHINCHIPE,19
1906,EL PANGUI,ZAMORA CHINCHIPE,19
1907,CENTINELA DEL CONDOR,ZAMORA CHINCHIPE,19
1908,PALANDA,ZAMORA CHINCHIPE,19
1909,PAQUISHA,ZAMORA CHINCHIPE,19
2401,SANTA ELENA,SANTA ELENA,24
2403,SALINAS,SANTA ELENA,24
9003,MANGA DEL CURA,ZONA NO DELIMITADA,90
0104,NABON,AZUAY,01
2001,SAN CRISTOBAL,GALAPAGOS,20
2003,SANTA CRUZ,GALAPAGOS,20
2002,ISABELA,GALAPAGOS,20
2402,LA LIBERTAD,SANTA ELENA,24
1114,PINDAL,LOJA,11
0702,ARENILLAS,EL ORO,07
0707,HUAQUILLAS,EL ORO,07
